ID.v,00,01,02,03,04,05,06,07,08,09,Detection
1,0,1,0,0,1,0,1,0,0,1,Yes
2,0,0,0,0,0,0,0,1,0,0,Yes
3,0,0,0,0,0,0,0,0,0,0,No
4,0,0,1,0,0,0,0,0,0,0,Yes
5,0,1,1,1,1,1,1,1,1,1,Yes
6,0,0,0,1,1,0,0,0,0,1,Yes
7,0,0,0,0,0,0,0,0,0,0,No
8,1,1,0,0,1,0,1,1,0,0,Yes
9,0,0,0,0,0,0,0,0,0,0,No
10,1,1,1,1,1,1,1,1,1,1,Yes
11,1,1,1,1,1,1,1,1,1,1,Yes
12,1,1,0,0,1,0,0,0,0,0,Yes
13,0,0,0,0,0,0,0,0,0,0,No
14,1,1,1,1,1,1,1,1,1,1,Yes
15,1,1,1,0,1,1,1,1,1,0,Yes
16,0,1,1,0,1,0,0,1,1,0,Yes
17,1,1,1,1,1,1,1,1,1,1,Yes
18,1,1,1,1,1,1,1,1,1,1,Yes
19,0,1,0,0,0,1,1,1,0,1,Yes
20,0,0,0,0,0,0,0,0,0,0,No
21,0,0,0,0,0,0,0,0,0,0,No
22,1,1,1,1,1,1,1,1,1,1,Yes
23,0,0,0,0,0,0,0,0,0,0,No
24,1,1,1,1,1,1,1,1,1,1,Yes
25,0,0,0,0,0,0,0,0,0,0,No
26,0,0,0,0,0,0,0,0,0,0,No
