ID.v,00,01,02,03,04,05,06,07,08,09,Detection
1,0,0,0,0,0,0,0,0,0,0,No
2,0,0,0,0,0,0,0,0,0,0,No
3,0,0,0,0,0,0,0,0,0,0,No
4,0,0,0,0,0,0,0,0,0,0,No
5,0,0,0,0,0,0,0,0,0,0,No
6,0,0,0,0,0,0,0,0,0,0,No
7,0,0,0,0,0,0,0,0,0,0,No
8,0,0,0,0,0,0,0,0,0,0,No
9,0,0,0,0,0,0,0,0,0,0,No
10,0,0,0,0,0,0,0,0,0,0,No
11,0,0,0,0,0,0,0,0,0,0,No
12,0,0,0,0,0,0,0,0,0,0,No
13,0,0,0,0,0,0,0,0,0,0,No
14,0,0,0,0,0,0,0,0,0,0,No
15,0,0,0,0,0,0,0,0,0,0,No
16,0,0,0,0,0,0,0,0,0,0,No
17,0,0,0,0,0,0,0,0,0,0,No
18,0,0,0,0,0,0,0,0,0,0,No
19,0,0,0,0,0,0,0,0,0,0,No
20,0,0,0,0,0,0,0,0,0,0,No
21,0,0,0,0,0,0,0,0,0,0,No
22,0,0,0,0,0,0,0,0,0,0,No
23,0,0,0,0,0,0,0,0,0,0,No
24,0,0,0,0,0,0,0,0,0,0,No
25,0,0,0,0,0,0,0,0,0,0,No
26,0,0,0,0,0,0,0,0,0,0,No
27,0,0,0,1,0,1,0,1,0,0,Yes
28,0,0,0,0,0,0,0,0,0,0,No
29,0,0,0,0,0,0,0,0,0,0,No
30,0,0,0,0,0,0,0,0,0,0,No
31,0,0,0,0,0,0,0,0,0,0,No
32,0,0,0,0,0,0,0,0,0,0,No
33,1,0,0,0,0,0,0,1,0,0,Yes
34,0,0,0,0,0,0,0,0,0,0,No
35,0,0,0,0,0,0,0,0,0,0,No
36,0,0,0,0,0,0,0,0,0,0,No
37,0,0,0,0,0,0,0,0,0,0,No
38,0,0,0,0,0,0,0,0,0,0,No
39,1,1,0,0,0,1,0,0,0,1,Yes
40,0,0,0,0,0,0,0,0,0,0,No
41,0,0,0,0,0,0,0,0,0,0,No
42,0,0,0,0,0,0,0,0,0,0,No
43,0,0,0,0,0,0,0,0,0,0,No
44,0,0,0,0,0,0,0,0,0,0,No
45,0,0,0,0,0,0,0,0,0,0,No
46,0,0,0,0,0,0,0,0,0,0,No
47,0,0,0,0,0,0,0,0,0,0,No
48,0,0,0,0,0,0,0,0,0,0,No
49,0,0,0,0,0,0,0,0,0,0,No
50,0,0,0,0,0,0,0,0,0,0,No
51,0,0,0,0,0,0,0,0,0,0,No
52,0,0,0,0,0,0,0,0,0,0,No
53,0,0,0,0,0,0,0,0,0,0,No
54,0,0,0,0,0,0,0,0,0,0,No
55,0,0,0,0,0,0,0,0,0,0,No
56,1,0,0,0,1,1,1,1,1,0,Yes
57,0,0,0,0,0,0,0,0,0,0,No
59,0,0,0,0,0,0,0,0,0,0,No
60,0,0,0,0,0,0,0,0,0,0,No
61,0,0,0,0,0,0,0,0,0,0,No
