ID.v,00,01,02,03,04,05,06,07,08,09,Detection
1,0,0,0,0,0,0,0,0,0,0,No
3,0,0,0,0,0,0,0,0,0,0,No
4,0,0,0,0,0,0,0,0,0,0,No
5,0,0,0,0,0,0,0,0,0,0,No
6,0,0,0,0,0,0,0,0,0,0,No
7,0,0,0,0,0,0,0,0,0,0,No
8,0,0,0,0,0,0,0,0,0,0,No
9,0,0,0,0,0,0,0,0,0,0,No
10,0,0,0,0,0,0,0,0,0,0,No
11,1,1,1,1,1,1,1,1,1,1,Yes
12,1,1,1,1,1,1,1,1,1,1,Yes
13,0,0,0,0,0,0,0,0,0,0,No
14,0,0,0,0,0,0,0,0,0,0,No
15,0,0,0,0,0,0,0,0,0,0,No
16,0,0,0,0,0,0,0,0,0,0,No
17,0,0,0,0,0,0,0,0,0,0,No
18,0,0,0,0,0,0,0,0,0,0,No
19,0,0,0,0,0,0,0,0,0,0,No
20,0,0,0,0,0,0,0,0,0,0,No
21,0,0,0,0,0,0,0,0,0,0,No
22,0,0,0,0,0,0,0,0,0,0,No
23,0,0,0,0,0,0,0,0,0,0,No
24,0,0,0,0,0,0,0,0,0,0,No
25,0,0,0,0,0,0,0,0,0,0,No
26,0,0,0,0,0,0,0,0,0,0,No
27,1,0,1,1,1,1,1,1,1,1,Yes
28,0,0,0,0,0,0,0,0,0,0,No
29,0,0,0,0,0,0,0,0,0,0,No
30,1,1,1,1,1,1,1,1,1,1,Yes
31,0,0,0,0,0,0,0,0,0,0,No
32,0,0,0,0,0,0,0,0,0,0,No
33,0,0,0,0,0,0,0,0,0,0,No
34,0,0,0,0,0,0,0,0,0,0,No
35,0,0,0,0,0,0,0,0,0,0,No
36,0,0,0,0,1,0,0,0,0,0,Yes
37,0,0,0,0,1,0,0,0,0,0,Yes
38,0,0,0,0,0,0,0,0,0,0,No
39,0,0,0,0,0,0,0,0,0,0,No
40,0,0,0,0,0,0,0,0,0,0,No
41,0,1,1,1,0,1,1,1,1,1,Yes
42,0,0,0,0,0,0,0,0,0,0,No
43,0,0,0,0,0,0,0,0,0,0,No
44,0,0,0,0,0,0,0,0,0,0,No
45,1,1,1,1,1,1,1,1,1,1,Yes
46,0,0,0,0,0,0,0,0,0,0,No
47,1,0,0,0,1,1,0,1,1,0,Yes
48,0,0,0,0,0,0,0,0,0,0,No
49,0,0,0,0,0,0,0,0,0,0,No
50,0,0,0,0,0,0,0,0,0,0,No
51,0,0,0,0,0,0,0,0,0,0,No
52,0,0,0,0,0,0,0,0,0,0,No
53,0,0,0,0,0,0,0,0,0,0,No
54,0,0,0,0,0,0,0,0,0,0,No
55,1,1,1,1,1,1,1,1,1,1,Yes
56,1,1,1,1,1,1,1,1,1,1,Yes
57,1,0,1,1,0,0,0,1,1,1,Yes
58,0,0,0,0,0,0,0,0,0,0,No
59,0,1,1,1,1,1,0,0,1,1,Yes
60,1,0,0,0,0,0,0,0,0,1,Yes
61,0,0,0,1,0,0,1,1,0,0,Yes
62,0,0,0,0,0,0,0,0,0,0,No
63,0,0,0,0,0,0,0,0,0,0,No
64,0,0,0,0,0,0,0,0,0,0,No
65,0,0,0,0,0,0,0,0,0,0,No
