ID.v,00,01,02,03,04,05,06,07,08,09,Detection
1,1,1,1,1,1,1,1,1,1,1,Yes
2,0,1,0,0,1,0,1,1,0,0,Yes
3,0,0,0,1,0,0,0,0,0,1,Yes
4,1,1,1,1,1,0,0,0,1,1,Yes
5,0,0,1,1,0,0,0,1,0,1,Yes
6,1,1,1,1,1,1,1,1,1,1,Yes
7,0,0,0,0,0,0,0,0,0,0,No
8,0,0,0,1,0,0,0,0,1,0,Yes
9,0,1,0,0,0,0,0,0,0,0,Yes
10,0,0,0,0,0,0,0,0,0,0,No
11,0,0,0,0,0,0,0,0,0,0,No
12,0,0,0,0,0,0,0,0,0,1,Yes
14,0,0,0,0,0,0,0,1,0,1,Yes
15,0,0,0,0,0,0,0,0,0,0,No
16,0,0,0,0,0,0,0,0,0,0,No
17,0,0,0,0,0,0,0,0,0,0,No
18,0,0,0,0,0,0,0,0,0,0,No
19,0,0,0,0,0,0,0,0,0,0,No
20,0,0,0,0,0,0,0,0,0,0,No
21,0,0,0,0,0,0,0,0,0,0,No
22,0,1,0,0,0,1,1,1,1,0,Yes
23,0,0,0,0,0,0,0,0,0,0,No
24,0,0,0,0,0,0,0,0,0,0,No
25,0,0,0,0,0,0,0,0,0,0,No
26,0,0,0,0,0,0,0,0,0,0,No
27,0,1,1,0,0,1,1,0,0,0,Yes
28,0,0,0,0,0,0,0,0,0,0,No
29,0,0,0,0,0,0,0,0,0,0,No
30,0,0,0,0,0,0,0,0,0,0,No
32,0,0,0,0,0,0,0,0,0,0,No
33,0,0,0,0,0,0,0,0,0,0,No
34,0,0,0,0,0,0,0,0,0,0,No
35,1,1,1,1,1,1,1,1,1,1,Yes
36,0,0,0,0,0,0,0,0,0,0,No
37,0,0,0,0,0,0,0,0,1,0,Yes
38,0,0,0,0,0,0,0,0,0,0,No
39,0,0,0,0,0,0,0,0,0,0,No
40,0,0,0,0,0,0,0,0,0,0,No
41,0,0,0,0,0,0,0,0,0,0,No
42,0,0,0,0,0,0,0,0,0,0,No
43,0,0,0,0,0,0,0,0,0,0,No
44,0,0,0,0,0,0,0,0,0,0,No
45,0,0,0,0,0,0,0,0,0,0,No
46,1,0,0,1,1,1,0,0,0,0,Yes
47,0,0,0,0,0,0,0,0,0,1,Yes
48,0,0,0,0,0,0,0,0,0,0,No
49,0,0,0,0,0,0,0,0,0,0,No
50,0,0,0,0,0,0,0,0,0,0,No
51,0,0,0,0,0,0,0,0,0,0,No
52,0,0,0,0,0,0,0,0,0,0,No
53,0,0,0,0,0,0,0,0,0,0,No
54,0,0,1,1,0,1,1,0,0,1,Yes
55,0,0,0,0,0,0,0,0,0,0,No
56,0,0,0,0,0,1,0,1,0,0,Yes
57,0,0,0,0,0,0,0,0,0,0,No
58,0,0,0,0,0,0,0,0,0,0,No
59,1,1,0,1,1,0,1,0,0,0,Yes
60,0,0,0,0,0,0,0,0,0,1,Yes
61,1,0,0,1,1,1,1,1,1,1,Yes
62,0,0,0,0,0,0,0,0,0,0,No
63,0,0,1,0,0,0,0,0,0,0,Yes
64,0,0,0,0,0,0,0,0,0,0,No
65,0,0,0,0,0,0,0,0,0,0,No
66,0,0,1,1,0,0,1,0,1,0,Yes
67,0,0,0,0,0,0,0,1,0,0,Yes
68,1,0,1,1,1,0,1,1,0,0,Yes
69,0,0,0,0,0,0,0,0,0,0,No
70,0,0,0,0,0,0,0,0,0,0,No
71,0,0,0,0,0,0,0,0,0,0,No
72,0,0,0,0,0,0,0,0,0,0,No
73,0,0,0,0,0,0,0,0,0,0,No
74,0,0,0,0,0,0,0,0,0,0,No
75,1,0,1,1,0,1,1,1,1,1,Yes
76,0,0,0,0,0,0,0,0,0,0,No
77,0,0,1,1,1,0,0,1,0,0,Yes
78,0,0,0,0,0,0,0,0,0,0,No
79,0,0,0,0,0,0,1,0,1,1,Yes
80,0,0,0,0,0,0,0,0,0,0,No
81,0,0,0,0,0,0,0,0,0,0,No
82,0,0,0,0,0,0,0,0,0,0,No
83,0,0,0,0,0,0,0,0,0,0,No
84,0,0,0,0,0,0,0,0,0,0,No
85,0,0,0,0,0,0,0,0,0,0,No
86,0,0,0,0,0,0,0,0,0,1,Yes
87,0,0,0,0,0,0,0,0,0,0,No
88,0,0,0,0,0,0,0,0,0,0,No
89,1,1,1,1,1,1,1,1,1,1,Yes
90,1,1,1,1,1,1,1,1,1,1,Yes
91,0,0,0,0,0,0,0,0,0,0,No
92,1,1,1,1,1,1,1,1,1,1,Yes
93,1,1,1,0,1,1,1,1,1,1,Yes
94,0,0,1,0,1,1,0,0,0,0,Yes
95,1,0,1,1,1,1,1,0,1,0,Yes
96,0,0,0,0,0,0,0,0,1,0,Yes
97,0,0,0,0,0,0,0,0,0,0,No
98,1,1,1,1,1,1,1,1,1,1,Yes
99,0,0,0,0,0,0,0,0,0,0,No
100,0,0,0,0,0,0,0,0,0,0,No
101,0,0,0,0,0,0,0,0,0,0,No
102,0,0,0,1,1,0,1,0,0,1,Yes
103,1,1,1,1,1,1,1,1,1,1,Yes
104,1,1,1,1,1,1,1,1,1,1,Yes
105,1,1,1,1,1,1,1,1,1,1,Yes
106,0,0,0,0,0,0,0,0,0,0,No
