ID.v,00,01,02,03,04,05,06,07,08,09,Detection
1,0,0,0,0,0,0,0,0,0,0,No
2,1,1,1,1,1,1,1,1,1,1,Yes
3,0,0,0,0,0,0,0,0,0,0,No
4,0,0,0,0,0,0,0,0,0,0,No
5,0,0,0,0,0,0,0,0,0,0,No
6,0,0,0,0,0,0,0,0,0,0,No
7,0,0,0,0,0,0,0,0,0,0,No
8,0,0,0,0,0,0,0,0,0,0,No
9,0,0,0,0,0,0,0,0,0,0,No
10,0,0,0,0,0,0,0,0,0,0,No
11,0,0,0,0,0,0,0,0,0,0,No
12,0,0,0,0,0,0,0,0,0,0,No
13,0,0,0,0,0,0,0,0,0,0,No
14,0,0,0,0,0,0,0,0,0,0,No
15,0,0,0,0,0,0,0,0,0,0,No
16,0,0,0,0,0,0,0,0,0,0,No
17,0,0,0,0,0,0,0,0,0,0,No
18,0,0,0,0,0,0,0,0,0,0,No
19,1,1,1,1,1,1,1,1,1,1,Yes
20,0,0,0,0,0,0,0,0,0,0,No
21,0,0,0,0,0,0,0,0,0,0,No
22,0,0,0,0,0,0,0,0,0,0,No
23,0,0,0,0,0,0,0,0,0,0,No
24,0,0,0,0,0,0,0,0,0,0,No
25,0,0,0,0,0,0,0,0,0,0,No
26,0,0,0,0,0,0,0,0,0,0,No
27,0,0,0,0,0,0,0,0,0,0,No
28,0,0,0,0,0,0,0,0,0,0,No
29,1,1,1,1,1,1,1,1,1,1,Yes
30,1,1,1,1,1,1,1,1,1,1,Yes
31,0,0,0,0,0,0,0,0,0,0,No
32,0,0,0,0,0,0,0,0,0,0,No
33,0,0,0,0,0,0,0,0,0,0,No
34,0,0,0,0,0,0,0,0,0,0,No
35,1,0,0,0,1,1,0,1,1,1,Yes
36,0,0,0,0,0,0,0,0,0,0,No
37,1,1,1,1,1,1,1,1,1,1,Yes
38,0,0,0,0,0,0,0,0,0,0,No
