ID.v,00,01,02,03,04,05,06,07,08,09,Detection
1,0,1,1,1,0,0,0,1,1,0,Yes
2,0,0,0,0,0,0,1,0,1,1,Yes
3,0,0,0,0,0,1,0,0,0,0,Yes
4,0,0,0,0,0,0,0,0,0,0,No
5,0,0,0,0,0,0,0,0,0,0,No
6,0,0,0,0,0,0,0,0,0,0,No
7,0,0,0,0,0,0,0,0,0,0,No
8,0,0,0,0,1,0,0,0,0,0,Yes
9,1,1,1,1,1,1,0,1,1,1,Yes
10,0,0,0,0,0,0,0,0,0,0,No
11,0,0,0,0,0,0,0,0,0,0,No
12,0,0,0,0,0,0,0,0,0,0,No
13,0,1,0,0,0,0,0,0,1,0,Yes
14,1,1,1,0,0,1,1,1,1,0,Yes
15,0,0,0,0,0,0,0,0,0,0,No
16,0,0,0,0,0,0,0,0,0,0,No
17,0,0,0,0,0,0,0,0,0,0,No
18,0,0,0,0,0,0,0,0,0,0,No
19,0,0,0,0,0,0,0,0,0,0,No
20,0,0,0,0,0,0,0,0,0,0,No
22,0,0,0,0,0,0,0,0,0,0,No
23,0,0,0,0,0,0,0,0,0,0,No
24,0,0,0,0,0,0,0,0,0,0,No
25,0,0,0,0,0,0,0,0,0,0,No
26,1,1,1,1,0,1,1,1,1,1,Yes
27,0,1,0,0,0,1,0,1,1,1,Yes
