ID.v,00,01,02,03,04,05,06,07,08,09,Count
1,1,1,1,1,1,0,1,0,0,0,6
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,0,1,1,1,1,1,1,8
5,0,1,0,0,1,1,1,1,1,0,6
6,1,0,0,0,0,0,0,0,0,1,2
7,0,0,0,0,0,0,0,0,0,0,0
8,0,1,1,0,0,1,1,1,1,0,6
9,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,1,0,0,1,0,0,3
11,1,1,1,1,1,1,1,1,1,1,10
12,0,1,0,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,0,0,0,0
14,1,1,1,1,1,1,1,1,1,1,10
15,1,1,1,1,1,1,1,1,1,1,10
16,1,1,1,1,1,1,1,1,1,1,10
17,1,1,1,1,1,1,1,1,1,1,10
18,1,1,1,1,1,1,1,1,1,1,10
19,1,1,0,1,1,1,0,1,1,1,8
20,0,0,0,0,0,0,0,0,0,0,0
21,0,0,1,1,1,1,0,1,1,1,7
22,1,1,1,1,1,1,1,1,1,1,10
23,1,1,1,1,1,1,1,1,1,1,10
24,1,0,1,1,1,0,1,0,1,0,6
25,1,0,0,0,0,0,0,0,0,0,1
26,0,1,1,0,1,1,1,0,0,1,6
