ID.v,00,01,02,03,04,05,06,07,08,09,Count
1,0,0,0,1,0,0,0,0,0,1,2
3,0,1,0,0,0,0,0,0,0,0,1
4,0,0,1,0,0,0,0,0,0,0,1
5,1,1,1,1,1,1,1,1,1,1,10
6,0,0,0,0,0,0,0,0,0,0,0
7,1,1,1,1,1,1,1,1,1,1,10
8,0,0,0,1,0,0,0,0,0,1,2
9,1,1,1,1,1,1,1,1,1,1,10
10,1,0,0,1,1,0,0,0,0,0,3
11,1,1,1,1,1,1,1,1,1,1,10
12,1,1,1,1,1,1,1,1,1,1,10
13,0,0,0,0,0,0,0,0,0,0,0
14,0,1,0,0,1,0,0,0,1,1,4
15,0,0,0,0,0,0,0,0,0,0,0
16,1,1,1,1,1,1,1,1,1,1,10
17,0,0,0,0,0,0,0,0,0,0,0
18,0,1,0,0,0,1,1,1,0,0,4
19,1,1,1,1,1,1,1,1,1,1,10
20,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
22,1,1,0,1,1,1,1,1,1,1,9
23,1,1,1,1,1,1,1,1,1,1,10
24,1,0,1,1,0,1,1,1,0,1,7
25,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0
27,1,1,1,1,1,1,1,1,1,1,10
28,0,0,0,0,0,1,0,0,0,0,1
29,1,1,1,1,1,1,1,1,1,1,10
30,1,1,1,1,1,1,1,1,1,1,10
31,0,0,0,0,0,0,0,0,0,0,0
32,1,1,1,1,1,1,1,1,1,1,10
33,1,1,1,1,1,1,1,1,1,1,10
34,0,0,1,0,0,0,0,0,0,0,1
35,1,1,1,1,1,1,1,1,1,1,10
36,1,1,1,1,1,1,1,1,1,1,10
37,0,0,0,0,0,0,0,0,0,1,1
38,0,0,0,0,0,0,0,0,0,0,0
39,1,1,1,1,1,1,1,1,1,1,10
40,0,0,0,0,0,0,0,0,0,0,0
41,1,1,1,1,1,1,1,1,1,1,10
42,0,0,0,0,0,0,0,0,0,0,0
43,1,1,1,1,1,1,1,1,1,1,10
44,1,1,0,1,1,1,1,1,1,1,9
45,1,1,1,1,1,1,1,1,1,1,10
46,1,1,1,1,1,1,1,1,1,1,10
47,1,1,1,1,1,1,1,1,1,1,10
48,1,1,1,1,1,1,1,1,1,1,10
49,1,1,1,1,1,1,1,1,1,1,10
50,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0
52,1,1,1,1,1,1,1,1,1,1,10
53,0,0,0,0,0,0,0,0,0,0,0
54,0,1,0,1,0,0,1,1,1,1,6
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0
57,1,1,1,1,1,1,1,1,1,1,10
58,1,1,1,1,1,1,1,1,1,1,10
59,0,0,1,1,1,0,0,0,1,1,5
60,0,0,1,1,0,0,1,0,0,0,3
61,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0
63,0,1,1,0,0,1,0,1,0,1,5
64,0,0,0,0,0,0,0,0,0,0,0
65,1,1,1,1,1,1,1,1,1,1,10
