ID.v,00,01,02,03,04,05,06,07,08,09,Count
1,1,1,1,1,1,1,1,1,1,1,10
2,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,0,1,1,1,1,1,1,9
4,1,1,1,1,1,1,1,1,1,1,10
5,1,1,1,1,1,1,0,1,1,1,9
6,1,1,1,1,1,1,1,1,1,1,10
7,0,0,0,0,0,0,0,0,0,0,0
8,1,1,1,1,0,0,1,0,0,1,6
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,1,1,0,0,1,1,1,1,1,1,8
12,1,0,1,1,0,1,0,0,1,1,6
14,1,1,1,1,1,1,1,1,1,1,10
15,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1,1
17,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,1,0,0,0,0,1
20,0,0,0,0,0,0,0,0,0,0,0
21,0,1,0,0,0,0,1,1,0,1,4
22,1,1,1,1,1,1,1,1,1,1,10
23,1,1,1,1,1,1,1,0,0,1,8
24,1,1,1,1,1,1,1,1,1,1,10
25,0,1,0,0,0,0,0,0,0,0,1
26,0,1,1,0,0,1,0,0,1,1,5
27,1,0,0,1,1,0,0,1,1,1,6
28,0,0,0,0,0,0,0,0,0,0,0
29,1,1,1,1,1,1,1,1,1,1,10
30,1,1,0,0,1,0,0,0,0,0,3
32,1,1,1,1,1,1,1,1,1,1,10
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0
35,1,1,1,1,1,1,1,1,1,1,10
36,1,0,1,1,1,1,0,1,1,1,8
37,1,1,1,1,1,1,1,1,1,1,10
38,1,0,0,0,0,0,1,1,0,0,3
39,1,0,1,1,0,1,1,1,1,1,8
40,1,1,1,1,1,1,1,1,1,1,10
41,0,0,0,0,0,0,0,0,0,0,0
42,1,0,0,1,0,0,1,0,1,1,5
43,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0
45,1,1,1,1,1,1,1,1,1,1,10
46,1,1,1,1,1,1,1,1,1,1,10
47,1,1,1,1,1,1,1,1,1,1,10
48,1,0,1,1,1,1,1,1,1,1,9
49,0,0,0,1,0,0,0,0,0,0,1
50,0,1,0,0,0,0,1,0,0,1,3
51,1,1,1,0,1,1,0,1,0,1,7
52,0,0,0,0,0,1,0,1,0,0,2
53,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0
55,1,1,0,1,1,1,0,1,1,1,8
56,1,1,0,1,1,1,1,1,1,1,9
57,0,0,0,0,0,0,0,1,0,0,1
58,0,0,0,0,0,0,0,0,0,0,0
59,1,1,1,1,1,1,1,1,1,1,10
60,1,1,1,1,0,1,1,0,1,1,8
61,1,1,1,1,1,1,1,1,1,1,10
62,0,1,1,0,1,0,1,1,0,1,6
63,1,0,1,1,1,0,0,0,0,1,5
64,0,0,0,0,0,0,1,0,1,0,2
65,0,0,0,0,0,0,0,0,0,0,0
66,1,1,1,1,1,1,1,1,1,1,10
67,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0
70,1,1,1,0,0,0,1,1,0,0,5
71,1,1,1,1,1,1,1,1,1,1,10
72,1,0,1,0,1,0,0,1,0,0,4
73,1,1,1,1,1,1,1,1,1,1,10
74,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0
77,1,1,1,1,0,1,1,0,1,1,8
78,0,0,0,0,0,1,0,1,0,0,2
79,0,0,0,0,0,0,0,0,0,0,0
80,0,0,1,0,1,0,1,1,0,0,4
81,0,0,0,1,0,0,0,0,0,0,1
82,0,0,0,0,0,0,0,0,0,0,0
83,0,0,1,1,1,1,0,1,0,0,5
84,1,1,1,1,1,1,1,1,1,1,10
85,1,1,1,1,1,1,1,1,1,1,10
86,1,0,0,1,0,0,1,1,1,1,6
87,1,1,1,1,1,1,1,1,1,1,10
88,0,0,0,0,0,0,0,0,0,0,0
89,1,1,1,1,1,1,1,1,1,1,10
90,0,1,1,1,0,1,0,0,1,0,5
91,0,0,0,0,0,0,0,0,0,0,0
92,1,1,1,1,1,1,1,1,1,1,10
93,1,0,1,1,0,1,0,0,1,0,5
94,1,1,0,1,1,0,1,1,1,1,8
95,1,1,1,1,1,1,1,1,1,1,10
96,0,1,0,0,0,0,0,0,0,0,1
97,1,1,1,1,1,1,1,1,1,1,10
98,1,0,1,1,1,1,1,1,1,1,9
99,1,1,1,1,1,1,1,1,1,1,10
100,0,0,0,0,0,0,0,0,0,0,0
101,1,1,1,1,1,1,1,1,1,1,10
102,1,1,1,1,1,1,1,1,1,1,10
103,0,1,0,0,0,0,0,0,0,0,1
104,0,1,1,1,1,0,1,1,1,0,7
105,0,1,0,0,1,0,0,1,1,0,4
106,1,0,0,0,0,0,0,1,0,0,2
