ID.v,00,01,02,03,04,05,06,07,08,09,Count
1,1,0,1,1,1,0,1,0,1,1,7
2,1,1,1,1,1,1,1,1,1,1,10
3,0,0,0,0,0,0,1,0,0,0,1
4,1,1,1,1,1,1,1,0,0,1,8
5,1,1,1,1,1,1,1,1,1,1,10
6,1,1,1,1,1,1,1,1,1,1,10
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,1,0,0,1,0,1,0,3
9,1,1,1,1,1,1,1,1,1,1,10
10,0,0,0,0,0,0,0,0,0,0,0
11,1,1,1,1,1,1,1,1,1,1,10
12,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1,0,0,1,0,0,0,1,3
14,1,1,1,0,1,0,0,1,1,0,6
15,1,1,1,0,0,1,1,1,0,1,7
16,0,0,0,0,0,0,0,0,0,0,0
17,1,1,1,1,1,1,1,1,1,1,10
18,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0
24,0,1,0,1,0,0,1,0,1,1,5
25,0,0,0,0,1,1,0,0,0,1,3
26,0,1,1,0,1,1,1,0,0,1,6
27,0,0,0,1,0,0,0,0,0,1,2
