ID.v,00,01,02,03,04,05,06,07,08,09,Detection
1,1,1,1,1,1,0,1,0,0,0,Yes
2,0,0,0,0,0,0,0,0,0,0,No
3,0,0,0,0,0,0,0,0,0,0,No
4,0,1,1,0,1,1,1,1,1,1,Yes
5,1,1,0,1,1,1,1,1,1,1,Yes
6,1,0,0,0,0,0,0,0,0,1,Yes
7,0,0,0,0,0,0,0,0,0,0,No
8,1,1,1,1,1,1,1,1,1,1,Yes
9,0,0,0,0,0,0,0,0,0,0,No
10,1,1,1,1,1,1,1,1,1,1,Yes
11,1,1,1,1,1,1,1,1,1,1,Yes
12,0,1,0,0,0,0,0,0,0,0,Yes
13,0,0,0,0,0,0,0,0,0,0,No
14,1,1,1,1,1,1,1,1,1,1,Yes
15,1,1,1,1,1,1,1,1,1,1,Yes
16,1,1,1,1,1,1,1,1,1,1,Yes
17,1,1,1,1,1,1,1,1,1,1,Yes
18,1,1,1,1,1,1,1,1,1,1,Yes
19,1,1,0,1,1,1,1,1,1,1,Yes
20,0,0,0,0,0,0,0,0,0,0,No
21,0,0,1,1,1,1,0,0,1,1,Yes
22,1,1,1,1,1,1,1,1,1,1,Yes
23,1,1,1,1,1,1,1,1,1,1,Yes
24,1,1,1,1,1,1,1,1,1,1,Yes
25,1,0,0,0,0,0,0,0,0,0,Yes
26,0,1,1,0,1,1,1,0,0,1,Yes
