ID.v,00,01,02,03,04,05,06,07,08,09,Detection
1,0,0,0,0,0,0,0,0,0,0,No
2,0,0,0,0,0,0,0,0,0,0,No
3,0,0,0,0,0,0,0,0,0,0,No
4,0,0,0,0,0,0,0,0,0,0,No
5,0,0,0,0,0,0,0,0,0,0,No
6,0,0,0,0,0,0,0,0,0,0,No
7,1,1,1,1,1,1,1,1,1,1,Yes
8,0,0,0,0,0,0,0,0,0,0,No
9,0,0,0,0,0,0,0,0,0,0,No
10,0,0,0,0,0,0,0,0,0,0,No
11,0,0,0,0,0,0,0,0,0,0,No
12,1,0,0,0,1,0,0,1,1,0,Yes
13,0,0,0,0,0,0,0,0,0,1,Yes
14,0,0,0,0,0,0,0,0,0,0,No
15,0,0,0,0,0,0,0,0,0,0,No
16,0,0,0,0,0,0,0,0,0,0,No
17,0,0,0,0,0,0,0,0,0,0,No
18,0,0,0,0,0,0,0,0,0,0,No
19,1,1,1,1,1,1,1,1,1,1,Yes
20,0,0,0,0,0,0,0,0,0,0,No
21,0,1,0,0,0,0,0,0,0,0,Yes
22,0,0,0,0,0,1,0,0,0,0,Yes
23,0,0,0,0,0,0,0,0,0,0,No
24,0,0,0,0,0,0,0,0,0,0,No
25,0,0,0,0,0,0,0,0,0,0,No
26,0,0,1,0,0,0,1,1,0,0,Yes
27,1,1,0,0,0,1,1,1,1,0,Yes
28,1,1,1,0,1,1,1,1,1,1,Yes
29,0,0,0,0,0,0,0,0,0,0,No
30,0,0,1,1,1,1,1,1,1,1,Yes
31,0,0,0,0,0,0,0,0,0,0,No
32,0,0,0,0,0,0,0,0,0,0,No
33,0,0,1,0,1,0,0,0,0,0,Yes
34,0,0,0,0,0,0,0,0,0,0,No
35,0,0,0,0,0,0,0,0,0,0,No
36,0,0,0,0,0,0,0,0,0,0,No
37,0,0,0,0,0,0,0,0,0,0,No
38,0,0,0,0,0,0,0,0,0,0,No
39,1,1,1,1,1,1,1,1,1,1,Yes
40,0,0,0,0,0,0,0,0,0,0,No
41,1,1,1,0,0,0,0,1,0,1,Yes
42,0,0,0,0,0,0,0,0,0,0,No
43,0,0,0,0,0,0,0,0,0,0,No
44,0,0,0,0,0,0,0,0,0,0,No
45,0,0,0,0,0,0,0,0,0,0,No
46,0,0,0,0,0,0,0,1,0,0,Yes
47,0,0,0,0,0,0,0,0,0,0,No
48,0,0,0,0,0,0,0,0,0,0,No
49,1,1,1,1,1,1,1,1,1,0,Yes
50,0,0,0,0,0,0,0,0,0,0,No
51,1,1,1,1,1,1,1,1,1,1,Yes
52,1,1,0,1,1,1,1,1,1,1,Yes
53,0,0,0,0,0,0,0,0,0,0,No
54,1,1,1,0,0,0,1,0,0,0,Yes
55,0,0,0,0,0,0,0,0,0,0,No
56,1,1,1,1,1,1,1,1,1,1,Yes
57,0,0,0,0,0,0,0,0,0,0,No
59,0,0,0,0,0,0,0,0,0,0,No
60,0,0,0,0,0,0,0,0,0,0,No
