ID.v,00,01,02,03,04,05,06,07,08,09,Detection
1,0,0,0,1,0,0,0,0,0,1,Yes
3,0,1,0,0,0,0,0,0,0,0,Yes
4,0,0,1,0,0,0,0,0,0,0,Yes
5,1,1,1,1,1,1,1,1,1,1,Yes
6,0,0,0,0,0,0,0,0,0,0,No
7,1,1,1,1,1,1,1,1,1,1,Yes
8,0,0,0,1,0,0,0,0,0,1,Yes
9,1,1,1,1,1,1,1,1,1,1,Yes
10,1,0,0,1,1,0,0,0,0,0,Yes
11,1,1,1,1,1,1,1,1,1,1,Yes
12,1,1,1,1,1,1,1,1,1,1,Yes
13,0,0,0,0,0,0,0,0,0,0,No
14,0,1,0,0,1,0,0,0,1,1,Yes
15,0,0,0,0,0,0,0,0,0,0,No
16,1,1,1,1,1,1,1,1,1,1,Yes
17,0,0,0,0,0,0,0,0,0,0,No
18,0,1,0,0,0,1,1,1,0,0,Yes
19,1,1,1,1,1,1,1,1,1,1,Yes
20,0,0,0,0,0,0,0,0,0,0,No
21,0,0,0,0,0,0,0,0,0,0,No
22,1,1,0,1,1,1,1,1,1,1,Yes
23,1,1,1,1,1,1,1,1,1,1,Yes
24,1,0,1,1,0,1,1,1,0,1,Yes
25,0,0,0,0,0,0,0,0,0,0,No
26,0,0,0,0,0,0,0,0,0,0,No
27,1,1,1,1,1,1,1,1,1,1,Yes
28,0,0,0,0,0,1,0,0,0,0,Yes
29,1,1,1,1,1,1,1,1,1,1,Yes
30,1,1,1,1,1,1,1,1,1,1,Yes
31,0,0,0,0,0,0,0,0,0,0,No
32,1,1,1,1,1,1,1,1,1,1,Yes
33,1,1,1,1,1,1,1,1,1,1,Yes
34,0,0,1,0,0,0,0,0,0,0,Yes
35,1,1,1,1,1,1,1,1,1,1,Yes
36,1,1,1,1,1,1,1,1,1,1,Yes
37,0,0,0,0,0,0,0,0,0,1,Yes
38,0,0,0,0,0,0,0,0,0,0,No
39,1,1,1,1,1,1,1,1,1,1,Yes
40,0,0,0,0,0,0,0,0,0,0,No
41,1,1,1,1,1,1,1,1,1,1,Yes
42,0,0,0,0,0,0,0,0,0,0,No
43,1,1,1,1,1,1,1,1,1,1,Yes
44,1,1,0,1,1,1,1,1,1,1,Yes
45,1,1,1,1,1,1,1,1,1,1,Yes
46,1,1,1,1,1,1,1,1,1,1,Yes
47,1,1,1,1,1,1,1,1,1,1,Yes
48,1,1,1,1,1,1,1,1,1,1,Yes
49,1,1,1,1,1,1,1,1,1,1,Yes
50,0,0,0,0,0,0,0,0,0,0,No
51,0,0,0,0,0,0,0,0,0,0,No
52,1,1,1,1,1,1,1,1,1,1,Yes
53,0,0,0,0,0,0,0,0,0,0,No
54,0,1,0,1,0,0,1,1,1,1,Yes
55,0,0,0,0,0,0,0,0,0,0,No
56,0,0,0,0,0,0,0,0,0,0,No
57,1,1,1,1,1,1,1,1,1,1,Yes
58,1,1,1,1,1,1,1,1,1,1,Yes
59,0,0,1,1,1,0,0,0,1,1,Yes
60,0,0,1,1,0,0,1,0,0,0,Yes
61,0,0,0,0,0,0,0,0,0,0,No
62,0,0,0,0,0,0,0,0,0,0,No
63,0,1,1,0,0,1,0,1,0,1,Yes
64,0,0,0,0,0,0,0,0,0,0,No
65,1,1,1,1,1,1,1,1,1,1,Yes
