ID.v,00,01,02,03,04,05,06,07,08,09,Detection
1,1,0,1,1,1,0,1,0,1,1,Yes
2,1,1,1,1,1,1,1,1,1,1,Yes
3,0,0,0,0,0,0,1,0,0,0,Yes
4,1,1,1,1,1,1,1,0,0,1,Yes
5,1,1,1,1,1,1,1,1,1,1,Yes
6,1,1,1,1,1,1,1,1,1,1,Yes
7,0,0,0,0,0,0,0,0,0,1,Yes
8,0,1,1,1,1,1,1,1,1,1,Yes
9,1,1,1,1,1,1,1,1,1,1,Yes
10,0,0,0,0,0,0,0,0,0,0,No
11,1,1,1,1,1,1,1,1,1,1,Yes
12,0,1,0,1,1,1,1,1,1,1,Yes
13,0,1,1,1,0,1,1,0,0,1,Yes
14,1,1,1,1,1,1,1,1,1,1,Yes
15,1,1,1,1,1,1,1,1,1,1,Yes
16,0,0,0,0,0,0,0,0,0,0,No
17,1,1,1,1,1,1,1,1,1,1,Yes
18,0,0,0,0,0,0,0,0,0,0,No
19,0,0,0,0,0,0,0,0,0,0,No
20,1,0,0,0,0,0,0,0,0,0,Yes
22,0,0,0,0,0,0,0,0,0,0,No
23,0,0,0,0,0,1,0,0,0,0,Yes
24,0,1,0,1,0,0,1,0,1,1,Yes
25,0,0,1,0,1,1,0,0,0,1,Yes
26,0,1,1,0,1,1,1,0,0,1,Yes
27,0,0,0,1,0,0,0,0,0,1,Yes
